     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
2.27000e+04  3.004e+12  9.013703e-01  0.000000e+00  0.000000e+00  2.704e+12
2.28000e+04  2.998e+12  9.013313e-01  0.000000e+00  0.000000e+00  2.698e+12
2.29000e+04  2.992e+12  9.012929e-01  0.000000e+00  0.000000e+00  2.693e+12
2.30000e+04  2.985e+12  9.012551e-01  0.000000e+00  0.000000e+00  2.688e+12
2.31000e+04  2.979e+12  9.012179e-01  0.000000e+00  0.000000e+00  2.682e+12
2.32000e+04  2.973e+12  9.011813e-01  0.000000e+00  0.000000e+00  2.676e+12
2.33000e+04  2.967e+12  9.011453e-01  0.000000e+00  0.000000e+00  2.670e+12
2.34000e+04  2.960e+12  9.011099e-01  0.000000e+00  0.000000e+00  2.665e+12
2.35000e+04  2.954e+12  9.010751e-01  0.000000e+00  0.000000e+00  2.659e+12
2.36000e+04  2.948e+12  9.010408e-01  0.000000e+00  0.000000e+00  2.653e+12
2.37000e+04  2.941e+12  9.010071e-01  0.000000e+00  0.000000e+00  2.647e+12
2.38000e+04  2.935e+12  9.009739e-01  0.000000e+00  0.000000e+00  2.641e+12
2.39000e+04  2.928e+12  9.009413e-01  0.000000e+00  0.000000e+00  2.636e+12
2.40000e+04  2.922e+12  9.009093e-01  0.000000e+00  0.000000e+00  2.630e+12
2.41000e+04  2.915e+12  9.008778e-01  0.000000e+00  0.000000e+00  2.624e+12
2.42000e+04  2.909e+12  9.008468e-01  0.000000e+00  0.000000e+00  2.618e+12
2.43000e+04  2.902e+12  9.008164e-01  0.000000e+00  0.000000e+00  2.612e+12
2.44000e+04  2.895e+12  9.007865e-01  0.000000e+00  0.000000e+00  2.606e+12
2.45000e+04  2.889e+12  9.007571e-01  0.000000e+00  0.000000e+00  2.600e+12
2.46000e+04  2.882e+12  9.007282e-01  0.000000e+00  0.000000e+00  2.594e+12
2.47000e+04  2.875e+12  9.006999e-01  0.000000e+00  0.000000e+00  2.588e+12
2.48000e+04  2.869e+12  9.006720e-01  0.000000e+00  0.000000e+00  2.582e+12
2.49000e+04  2.862e+12  9.006447e-01  0.000000e+00  0.000000e+00  2.575e+12
2.50000e+04  2.855e+12  9.006179e-01  0.000000e+00  0.000000e+00  2.569e+12
2.51000e+04  2.848e+12  9.005916e-01  0.000000e+00  0.000000e+00  2.563e+12
2.52000e+04  2.842e+12  9.005657e-01  0.000000e+00  0.000000e+00  2.556e+12
2.53000e+04  2.835e+12  9.005404e-01  0.000000e+00  0.000000e+00  2.550e+12
2.54000e+04  2.828e+12  9.005155e-01  0.000000e+00  0.000000e+00  2.543e+12
2.55000e+04  2.821e+12  9.004911e-01  0.000000e+00  0.000000e+00  2.537e+12
2.56000e+04  2.814e+12  9.004672e-01  0.000000e+00  0.000000e+00  2.531e+12
2.57000e+04  2.807e+12  9.004438e-01  0.000000e+00  0.000000e+00  2.524e+12
2.58000e+04  2.801e+12  9.004208e-01  0.000000e+00  0.000000e+00  2.518e+12
2.59000e+04  2.794e+12  9.003983e-01  0.000000e+00  0.000000e+00  2.511e+12
2.60000e+04  2.787e+12  9.003762e-01  0.000000e+00  0.000000e+00  2.505e+12
2.61000e+04  2.780e+12  9.003546e-01  0.000000e+00  0.000000e+00  2.499e+12
2.62000e+04  2.773e+12  9.003335e-01  0.000000e+00  0.000000e+00  2.492e+12
2.63000e+04  2.766e+12  9.003128e-01  0.000000e+00  0.000000e+00  2.486e+12
2.64000e+04  2.759e+12  9.002925e-01  0.000000e+00  0.000000e+00  2.479e+12
2.65000e+04  2.752e+12  9.002727e-01  0.000000e+00  0.000000e+00  2.472e+12
2.66000e+04  2.745e+12  9.002533e-01  0.000000e+00  0.000000e+00  2.466e+12
2.67000e+04  2.738e+12  9.002343e-01  0.000000e+00  0.000000e+00  2.459e+12
2.68000e+04  2.731e+12  9.002158e-01  0.000000e+00  0.000000e+00  2.452e+12
2.69000e+04  2.724e+12  9.001977e-01  0.000000e+00  0.000000e+00  2.446e+12
2.70000e+04  2.717e+12  9.001800e-01  0.000000e+00  0.000000e+00  2.439e+12
